brand,slogan,type,repitition,shown
دیجی کالا,لبخند به خانه می رسد,real,1,y
آفام,هنر پوشیدن,real,3,y
همراه اول,هیچ کس تنها نیست,real,,n
میهن,دوست تو و من,real,,n
مهرام,خوشمزه و خوشنام,real,,n
رونیکس,اخرین ابزاری که می خرید,real,1,y
شودر,چون جزئیات مهم است,real,1,y
نستله,"غذا خوب، زندگی خوب",real,,n
دیوار,"دور شهر نگرد، تو دیوار بگرد",real,1,y
هاکوپیان,زندگی ارزشمند است,real,1,y
فلایتیو,دنیات رو کشف کن,real,,n
فیدیبو,"مطالعه برای همه، همه وقت همه جا",real,,n
شاتل,شاهراه اینترنت و تلفن,real,,n
تپسی,زندگی در حرکت معنا پیدا می کند,real,,n
باسلام,قهرمان شمایید,real,3,y
سافتلن,یکپارچه مهربانی,real,1,y
ملی,صدای پای ملی می آید,real,,n
استیل البرز,زود جوش میاره,real,1,y
شهر فرش,خیالت راحتِ راحتِ راحت,real,,n
جاباما,روی چشم ما جا دارید,real,3,y
کالاچی,همه چی اینجاست,fake,1,y
تندبال,سریع و مطمئن تا مقصد,fake,3,y
کلیدار,متعلق به هر کجا,fake,1,y
پالینو,"سبک تو، امضا تو",fake,1,y
تِراولی,راهی تازه برای سفر های تو,fake,,n
نوآر,جهانی نو در دستان شما,fake,,n
پیک تِک,آینده را تجربه کنید,fake,,n
فیت جو,زندگی یعنی حرکت,fake,,n
پیماک,"پرداخت سریع، بدون مرز",fake,3,y
اکس فیت,فراتر از محدودیت,fake,,n
لونوکس,"زندگی هوشمند، لحظه به لحظه",fake,,n
ازکتاب,هوشمندتر بخوان,fake,,n
هومینو,تجربه کن,fake,1,y
داتیل,طعمی که در حافظه می ماند,fake,,n
راگمَکس,ابزار موفقیت,fake,,n
ویسنا,طبیعت در هر جرعه,fake,1,y
توکا,زیبایی در سادگی,fake,3,y
نَشین,حس خوب همنشینی,fake,1,y
راکاد,تحولی از درون,fake,1,y
وارو,طوری که بخواهید حرکت می کنیم,fake,,n
